codgeo;nom;DEP;chomage;entrep;salary;DEP;;;;;;;;;;;;;
75001,0;Paris 1er Arrondissement;75;6,7;12300;25,3;75;;;;;;;;;;;;;
75002,0;Paris 2e  Arrondissement;75;6,7;12300;24,1;75;;;;;;;;;;;;;
75003,0;Paris 3e  Arrondissement;75;6,7;12300;25,4;75;;;;;;;;;;;;;
75004,0;Paris 4e  Arrondissement;75;6,7;12300;24,5;75;;;;;;;;;;;;;
75005,0;Paris 5e  Arrondissement;75;6,7;12300;26,2;75;;;;;;;;;;;;;
75006,0;Paris 6e  Arrondissement;75;6,7;12300;33,0;75;;;;;;;;;;;;;
75007,0;Paris 7e  Arrondissement;75;6,7;12300;39,0;75;;;;;;;;;;;;;
75008,0;Paris 8e  Arrondissement;75;6,7;12300;32,5;75;;;;;;;;;;;;;
75009,0;Paris 9e  Arrondissement;75;6,7;12300;25,6;75;;;;;;;;;;;;;
75010,0;Paris 10e  Arrondissement;75;6,7;12300;19,7;75;;;;;;;;;;;;;
75011,0;Paris 11e  Arrondissement;75;6,7;12300;19,8;75;;;;;;;;;;;;;
75012,0;Paris 12e  Arrondissement;75;6,7;12300;19,9;75;;;;;;;;;;;;;
75013,0;Paris 13e  Arrondissement;75;6,7;12300;17,9;75;;;;;;;;;;;;;
75014,0;Paris 14e  Arrondissement;75;6,7;12300;21,0;75;;;;;;;;;;;;;
75015,0;Paris 15e  Arrondissement;75;6,7;12300;23,1;75;;;;;;;;;;;;;
75016,0;Paris 16e  Arrondissement;75;6,7;12300;36,3;75;;;;;;;;;;;;;
75017,0;Paris 17e  Arrondissement;75;6,7;12300;25,8;75;;;;;;;;;;;;;
75018,0;Paris 18e  Arrondissement;75;6,7;12300;18,0;75;;;;;;;;;;;;;
75019,0;Paris 19e  Arrondissement;75;6,7;12300;16,1;75;;;;;;;;;;;;;
75020,0;Paris 20e  Arrondissement;75;6,7;12300;16,7;75;;;;;;;;;;;;;
77005;Annet-sur-Marne;17,8;7,1;253;17,8;77;;;;;;;;;;;;;
77014;Avon;77;7,1;589;16,1;77;;;;;;;;;;;;;
77018;Bailly-Romainvilliers;15,8;7,1;261;15,8;77;;;;;;;;;;;;;
77037;Bois-le-Roi;22,0;7,1;314;22,0;77;;;;;;;;;;;;;
77040;Boissise-le-Roi;18,1;7,1;212;18,1;77;;;;;;;;;;;;;
77042;Boissy-le-Châtel;14,4;7,1;233;14,4;77;;;;;;;;;;;;;
77048;Bourron-Marlotte;21,4;7,1;267;21,4;77;;;;;;;;;;;;;
77051;Bray-sur-Seine;12,4;7,1;236;12,4;77;;;;;;;;;;;;;
77053;Brie-Comte-Robert;77;7,1;863;15,2;77;;;;;;;;;;;;;
77055;Brou-sur-Chantereine;14,5;7,1;249;14,5;77;;;;;;;;;;;;;
77058;Bussy-Saint-Georges;77;7,1;613;17,4;77;;;;;;;;;;;;;
77061;Cannes-Écluse;13,6;7,1;184;13,6;77;;;;;;;;;;;;;
77067;Cesson;77;7,1;345;16,9;77;;;;;;;;;;;;;
77069;Chailly-en-Bière;17,2;7,1;215;17,2;77;;;;;;;;;;;;;
77079;Champagne-sur-Seine;77;7,1;321;13,2;77;;;;;;;;;;;;;
77083;Champs-sur-Marne;77;7,1;905;15,4;77;;;;;;;;;;;;;
